Ontology -  all instances of class from New SmartTable with Growth-Media	Matches	Composition	PLATE-ID	Observed-Growth	Object ID	Common-Name	WELL-ID	Summary
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-80	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-26 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-250 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-130 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-101	MIX0-80	Bochner defined minimal medium without carbon	A1	This is a defined minimal medium for use in high-throughput phenotype analysis. It is typically prepared containing 0.01% tetrazolium violet as a redox dye to indicate whether cellular respiration is occurring in the presence of the included nutrient mix. This is the variation lacking a carbon source.
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-81	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PYRUVATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-26 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-256 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-106	MIX0-81	Bochner defined minimal medium without nitrogen	A1	This is a defined minimal medium for use in high-throughput phenotype analysis. It is typically prepared containing 0.01% tetrazolium violet as a redox dye to indicate whether cellular respiration is occurring in the presence of the included nutrient mix. This is the variation lacking a nitrogen source.
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-83	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PYRUVATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-26 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-259 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-109	MIX0-83	Bochner defined minimal medium without phosphorous	A1	This is a defined minimal medium for use in high-throughput phenotype analysis. It is typically prepared containing 0.01% tetrazolium violet as a redox dye to indicate whether cellular respiration is occurring in the presence of the included nutrient mix. This is the variation without phosphorous.
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-82	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PYRUVATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-26 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-259 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-112	MIX0-82	Bochner defined minimal medium without sulfur	F1	This is a defined minimal medium for use in high-throughput phenotype analysis. It is typically prepared containing 0.01% tetrazolium violet as a redox dye to indicate whether cellular respiration is occurring in the presence of the included nutrient mix. This is the variation without sulfur.
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-517	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD-1125		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-253 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-245 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-28 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-104	MIX0-517	PMA carbon source test + (R)-amygdalin	B4	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-491	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD-660		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-252 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-130 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-249 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-30 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-103 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-59 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-57	MIX0-491	PMA carbon source test + (R)-malate	G11	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-588	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=BUTANEDIOL		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-253 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-245 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-28 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-104	MIX0-588	PMA carbon source test + (R,R)-2,3-butanediol	H10	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-445	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=RS-Malate		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-252 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-130 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-249 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-30 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-103 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-59 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-57	MIX0-445	PMA carbon source test + (<i>RS</i>)-malate	C3	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-439	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=L-LACTATE		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-252 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-130 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-249 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-30 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-103 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-59 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-57	MIX0-439	PMA carbon source test + (<i>S</i>)-lactate	B9	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-492	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MAL		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-252 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-130 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-249 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-30 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-103 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-59 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-57	MIX0-492	PMA carbon source test + (<i>S</i>)-malate	G12	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-585	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD-58		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-253 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-245 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-28 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-104	MIX0-585	PMA carbon source test + 1-(4-hydroxyphenyl)-2-aminoethanol	H7	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-533	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD-3611		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-267 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-255 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-246 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-29 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-105	MIX0-533	PMA carbon source test + 1-O-methyl-&beta;-D-glucuronate	C9	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-535	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD-3613		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-301 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-253 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-245 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-29 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-104	MIX0-535	PMA carbon source test + 1-O-methyl-&beta;-D-xylopyranose	C11	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-522	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=2-DEOXYRIBOSE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-253 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-245 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-28 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-104	MIX0-522	PMA carbon source test + 2'-deoxyribose	B9	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-547	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=BUTYRIC_ACID		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-253 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-245 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-28 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-104	MIX0-547	PMA carbon source test + 2-butanoate	D12	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-790	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD-3564		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-252 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-130 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-249 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-30 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-103 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-59 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-57	MIX0-790	PMA carbon source test + 2-hydroxybutyrate	E7	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-555	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD-3618		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-253 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-245 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-30 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-104	MIX0-555	PMA carbon source test + 2-ketopentanoate	E10	
HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-459	HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=Phenotype-Microarray-Media	HTTPS://ecocyc.org/compound?orgid=ECOLI&id=SULFATE // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=FE%2b3 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=K%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=MG%2b2 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=PROTON // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=Pi // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=AMMONIUM // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=NA%2b // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CL- // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=CPD0-2459 // HTTPS://ecocyc.org/compound?orgid=ECOLI&id=2-OXOBUTANOATE		HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-252 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-130 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-249 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-30 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-103 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-59 // HTTPS://ecocyc.org/ECOLI/NEW-IMAGE?type=NIL&object=OBS0-57	MIX0-459	PMA carbon source test + 2-oxobutanoate	D7	
